Author,Exposure,Outcome,Direction,Strength
Kernan et al. 2014 (for patients patients with atrial fibrillation and some patients with thrombophilia),post stroke epilepsy,death (all causes),Increase,6.26
"Vivanco-Hidalgo et al., 2019",arterial hypertension,second ischemic stroke,Increase,6.0
Arrich et al. 2005,arterial hypertension,atherosclerosis,Increase,5.53
Burneo et al. 2009,female sex,oral contraceptives,Increase,4.52
"Khanevsky et al., 2019",female sex,depression,Increase,4.52
,female sex,first ischemic stroke,Decrease,4.43
,female sex,second ischemic stroke,Decrease,4.43
Bushnell et al. 2014,female sex,migraine with aura,Increase,4.43
Bushnell et al. 2014,migraine with aura,first ischemic stroke,Increase,4.43
Bushnell et al. 2014,migraine with aura,second ischemic stroke,Increase,3.84
Bushnell et al. 2014,female sex,arterial hypertension,Increase,3.84
Bushnell et al. 2014,oral contraceptives,second ischemic stroke,Increase,4.08
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",second ischemic stroke,Increase,4.08
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",first ischemic stroke,Increase,4.08
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",arterial hypertension,Increase,4.08
Bushnell et al. 2014,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",Diabetes mellitus,Increase,4.08
Bushnell et al. 2014,female sex,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",Increase,6.84
Bushnell et al. 2014,moderate physical activity,obesity,Decrease,6.84
Bushnell et al. 2014,healthy (mediterranean) diet,obesity,Decrease,6.84
Bushnell et al. 2014,stroke severity (e.g. measured by NIHSS),death (all causes),Increase,6.84
,first ischemic stroke,death (all causes),Increase,6.26
,second ischemic stroke,death (all causes),Increase,6.26
,depression,death (all causes),Increase,5.53
"Khanevski et al., 2019",moderate physical activity,migraine with aura,Decrease,4.17
"Khanevski et al., 2019",healthy (mediterranean) diet,death (all causes),Decrease,5.42
,obesity,death (all causes),Increase,5.42
,Smoking,death (all causes),Increase,5.42
"Bushnell et al., 2014",moderate physical activity,death (all causes),Decrease,5.42
"Bushnell et al., 2014",atrial fibrillation,death (all causes),Increase,5.42
"Bushnell et al., 2014",atrial fibrillation,stroke severity (e.g. measured by NIHSS),Increase,6.84
"Bushnell et al., 2014",atrial fibrillation,anticoagulation,Increase,6.84
"Goldstein et al., 2011",atherosclerosis,antiplatelet therapy (e.g. ASS),Increase,6.84
"Goldstein et al., 2011",stenoses of cerebral vessels,antiplatelet therapy (e.g. ASS),Increase,6.84
,Smoking,atherosclerosis,Increase,6.84
,Smoking,stenoses of cerebral vessels,Increase,6.84
,sleep apnea,arterial hypertension,Increase,4.52
,Diabetes mellitus,arterial hypertension,Increase,4.52
,low socioeconomic status,Smoking,Increase,4.0
,low socioeconomic status,arterial hypertension,Increase,4.08
,low socioeconomic status,healthy (mediterranean) diet,Decrease,4.08
Marshall et al. 2015,low socioeconomic status,moderate physical activity,Decrease,4.08
Marshall et al. 2015,low socioeconomic status,first ischemic stroke,Increase,4.08
Marshall et al. 2015,low socioeconomic status,second ischemic stroke,Increase,4.08
Marshall et al. 2015,low socioeconomic status,depression,Increase,5.53
Marshall et al. 2015,cortical involvement or strategical localisation of stroke lesion,functional outcome (e.g. measured by mRS),Increase,5.53
Marshall et al. 2015,cortical involvement or strategical localisation of stroke lesion,post stroke epilepsy,Increase,5.53
Lorant et al. 2013,second ischemic stroke,functional outcome (e.g. measured by mRS),Increase,5.0
