original_term,code,standardized_term,iteration_0,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70
"['exercise', 'physical exercise', 'physical activity', 'moderate physical activity', 'exercise (cardiac not excessive)', 'Weight Loss and Aerobic Exercise']",4038720,Exercises regularly,Clinical finding,Functional finding,Functional finding,Functional finding,Functional finding,Functional finding,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Activity exercise pattern,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly,Exercises regularly
['Lacunes'],4046360,Lacunar infarction,Clinical finding,Finding by site,Finding by site,Finding by site,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Cerebral infarction,Lacunar infarction,Lacunar infarction,Lacunar infarction,Lacunar infarction,Lacunar infarction,Lacunar infarction,Lacunar infarction,Lacunar infarction,Lacunar infarction,Lacunar infarction
['Takotsubo syndrome'],40479589,Takotsubo cardiomyopathy,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Heart disease,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo cardiomyopathy
['oxygen saturation'],40486533,Finding of oxygen saturation,Clinical finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Finding of substance level,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation,Finding of oxygen saturation
['Carotid Endarterectomy / Angioplasty / stenting'],4050288,Insertion of carotid artery stent,Procedure,Procedure,Procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Vascular surgery procedure,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent,Insertion of carotid artery stent
"['rate of thrombolysis', 'Thrombolysis']",4051022,Thrombolysis of artery,Procedure,Procedure,Procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Vascular surgery procedure,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery,Thrombolysis of artery
"['severe disability', 'disability']",4052648,Disability,Clinical finding,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability,Disability
"['anticoagulation medication', 'Anticoagulation Therapy', 'anticoagulation']",4056822,Anticoagulant therapy,Procedure,Procedure,Procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Drug therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy,Anticoagulant therapy
['falls'],4059015,Falls,Clinical finding,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls,Falls
['social work'],4059498,Social worker involved,Clinical finding,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved,Social worker involved
"['blood-brain barrier breakdown', 'blood brain barrier integrity']",4068351,Blood-brain barrier,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier,Blood-brain barrier
"['patent foramen ovale (PFO)', 'persistent foramen ovale']",4070299,Patent foramen ovale,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Heart disease,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale,Patent foramen ovale
['reduction or complete blockage of blood flow'],4070767,Decreased vascular flow,Clinical finding,Functional finding,Functional finding,Functional finding,Functional finding,Functional finding,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow
"['alcohol consumption', 'habitual alcohol consumption']",4074035,Current drinker,Clinical finding,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker
['malformations'],4079975,Congenital malformation,Clinical finding,Disease,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation,Congenital malformation
['multimodal pain therapy'],4083171,Pain management,Procedure,Procedure,Procedure,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Procedure with a clinical finding focus,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management,Pain management
"['lesion size', 'lesion_size']",4084390,Lesion size,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Observable entity,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size,Lesion size
['antibiotics'],4085730,Antibiotic therapy,Procedure,Procedure,Procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Drug therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy,Antibiotic therapy
['malnutrition'],4090739,Nutritional disorder,Clinical finding,Disease,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder,Nutritional disorder
['sinus venous thrombosis'],4102202,Cerebral venous sinus thrombosis,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis,Cerebral venous sinus thrombosis
