Author,Exposure,Outcome,Direction,Strength,ID,Status
,Male,Diabetes mellitus,Increase,3.0,1,Final
,Diabetes mellitus,Essential hypertension,Increase,2.0,1,Final
,Hyperlipidemia,Glomerular filtration rate,Decrease,2.0,1,Final
Bohne et al. (2019),Male,Body mass index,Decrease,2.0,1,Final
Sensi et al. (2015),Essential hypertension,Glomerular filtration rate,Decrease,2.0,1,Final
Hallit et al. (2017),Diabetes mellitus,Glomerular filtration rate,Increase,3.0,1,Final
Jain & Ducatman (2018),Tobacco smoking behavior - finding,Chronic kidney disease,Increase,3.0,1,Final
Kautzky-Willer et al. (2016),Chronic kidney disease,Atrial fibrillation,Increase,2.0,1,Final
Wishner (1996),Chronic kidney disease,Ischemic stroke,Increase,4.0,1,Final
,National Institutes of Health stroke scale,National Institutes of Health stroke scale,Increase,6.0,2,Final
,National Institutes of Health stroke scale,Modified Rankin Scale,Increase,6.84,2,Final
,Modified Rankin Scale,Modified Rankin Scale,Increase,6.84,2,Final
,Modified Rankin Scale,National Institutes of Health stroke scale,Increase,6.84,2,Final
,Lesion size,National Institutes of Health stroke scale,Increase,6.84,2,Final
,Lesion size,Modified Rankin Scale,Increase,6.84,2,Final
,Lesion size,Modified Rankin Scale,Increase,6.84,2,Final
,Lesion size,National Institutes of Health stroke scale,Increase,6.84,2,Final
,Therapy - Delay time,National Institutes of Health stroke scale,Increase,6.84,2,Final
,Therapy - Delay time,Modified Rankin Scale,Increase,6.84,2,Final
,Lesion size,Barthel index,Decrease,6.0,2,Final
eloquent / non-eloquent,Site of lesion,Barthel index,Decrease,6.0,2,Final
eloquent / non-eloquent,Site of lesion,National Institutes of Health stroke scale,Increase,6.84,2,Final
eloquent / non-eloquent,Site of lesion,National Institutes of Health stroke scale,Increase,6.84,2,Final
eloquent / non-eloquent,Site of lesion,Modified Rankin Scale,Increase,6.84,2,Final
eloquent / non-eloquent,Site of lesion,Modified Rankin Scale,Increase,6.84,2,Final
,National Institutes of Health stroke scale,Barthel index,Decrease,6.0,2,Final
,Modified Rankin Scale,Barthel index,Decrease,6.0,2,Final
,Lesion size,Barthel index,Decrease,6.0,2,Final
,Therapy - Delay time,Barthel index,Decrease,6.0,2,Final
,Barthel index,Barthel index,Increase,6.84,2,Final
eloquent/non eloquent,Site of lesion,Barthel index,Decrease,6.0,2,Final
,Ischemic stroke,Lesion size,Increase,6.0,2,Final
,Ischemic stroke,Site of lesion,Increase,6.0,2,Final
cardioembolic,Atrial fibrillation,Ischemic stroke,Increase,2.68,2,Final
,Diagnosis - Delay time,Therapy - Delay time,Increase,2.68,2,Final
meaning the general population being aware of typical stroke symptoms,Assessment using FAST (Face Arm Speech Test) - Known,Diagnosis - Delay time,Decrease,2.0,2,Final
,Diagnosis - Delay time,Thrombolysis,Decrease,6.84,2,Final
,Diagnosis - Delay time,Removal of thrombus,Decrease,6.84,2,Final
,Thrombolysis,Lesion size,Decrease,2.93,2,Final
,Removal of thrombus,Lesion size,Decrease,2.93,2,Final
cardioembolic,Ischemic stroke,Thrombolysis,Increase,2.93,2,Final
accesible arteries,Ischemic stroke,Removal of thrombus,Increase,2.68,2,Final
macroangiopathic,Arteriosclerosis,Ischemic stroke,Increase,2.68,2,Final
,Tobacco smoking behavior - finding,Arteriosclerosis,Increase,6.84,2,Final
,Age factor,Arteriosclerosis,Increase,6.84,2,Final
,Diabetes mellitus,Arteriosclerosis,Increase,6.84,2,Final
,Dyslipidemia,Arteriosclerosis,Increase,6.84,2,Final
,Lipoprotein (a),Arteriosclerosis,Increase,6.84,2,Final
,Vasculitis,Arteriosclerosis,Increase,6.84,2,Final
cardioembolic,Patent foramen ovale,Ischemic stroke,Increase,6.84,2,Final
,Essential hypertension,Ischemic stroke,Increase,6.0,3,Draft
,Body mass index,Ischemic stroke,Increase,6.84,3,Draft
,Age factor,Ischemic stroke,Increase,6.84,3,Draft
,Male,Ischemic stroke,Increase,6.84,3,Draft
,Tobacco smoking behavior - finding,Ischemic stroke,Increase,6.84,3,Draft
,Diabetes mellitus,Ischemic stroke,Increase,6.84,3,Draft
,Hyperlipidemia,Ischemic stroke,Increase,6.84,3,Draft
,Alcohol intake exceeds recommended daily limit,Ischemic stroke,Increase,6.84,3,Draft
,High fat diet,Ischemic stroke,Increase,6.0,3,Draft
,High fat diet,Essential hypertension,Increase,2.68,3,Draft
,Atrial fibrillation,Ischemic stroke,Increase,6.0,3,Draft
,Atherosclerosis,Ischemic stroke,Increase,6.84,3,Draft
,High fat diet,Atherosclerosis,Increase,0.57,3,Draft
,Body mass index,Ischemic stroke,Increase,0.57,3,Draft
,Ischemic stroke,Body mass index,Decrease,0.57,3,Draft
,Tobacco smoking behavior - finding,Ischemic stroke,Increase,6.84,3,Draft
,Age factor,Ischemic stroke,Increase,6.84,3,Draft
,Male,Ischemic stroke,Increase,6.84,3,Draft
,Alcohol intake exceeds recommended daily limit,Ischemic stroke,Increase,6.84,3,Draft
,High fat diet,Ischemic stroke,Increase,6.84,3,Draft
,Diabetes mellitus,Ischemic stroke,Increase,6.84,3,Draft
,Essential hypertension,Structure of endothelium tissue - Disease,Increase,6.84,4,Draft
,Thrombolysis,Functional assessment,Increase,2.68,4,Draft
,Lesion size,Functional assessment,Decrease,6.26,4,Draft
,Essential hypertension,Functional assessment,Decrease,6.84,4,Draft
,Body mass index,Functional assessment,Decrease,6.84,4,Draft
,Body mass index,Structure of endothelium tissue - Disease,Increase,4.61,4,Draft
,Structure of endothelium tissue - Disease,Endothelial microvesicles,Increase,6.84,4,Draft
,Body mass index,Ischemic stroke,Increase,6.84,4,Draft
,Essential hypertension,Ischemic stroke,Increase,6.84,4,Draft
,Ischemic stroke,Functional assessment,Decrease,1.0,4,Draft
,Structure of endothelium tissue - Disease,Ischemic stroke,Increase,5.42,4,Draft
,Endothelial microvesicles,Risk of cardiovascular disease - Secondary,Increase,6.84,4,Draft
,Essential hypertension,Risk of cardiovascular disease - Secondary,Increase,6.84,4,Draft
,Structure of endothelium tissue - Disease,Risk of cardiovascular disease - Secondary,Increase,2.0,4,Draft
,Endothelial microvesicles,Ischemic stroke,Increase,4.0,4,Draft
,Ischemic stroke,Lesion size,Increase,6.84,4,Draft
,Ischemic stroke,Risk of cardiovascular disease - Secondary,Increase,6.84,4,Draft
,Lesion size,Risk of cardiovascular disease - Secondary,Increase,3.0,4,Draft
,Vasculitis,Risk of cardiovascular disease - Secondary,Increase,6.84,4,Draft
,Structure of endothelium tissue - Disease,Vasculitis,Increase,3.14,4,Draft
,Vasculitis,Leukocyte-derived microvesicles,Increase,5.31,4,Draft
,Leukocyte-derived microvesicles,Risk of cardiovascular disease - Secondary,Increase,5.31,4,Draft
,Tobacco smoking behavior - finding,Ischemic stroke,Increase,6.0,5,Draft
,Kidney disease,Ischemic stroke,Increase,5.0,5,Draft
,Male,Ischemic stroke,Increase,1.0,5,Draft
,Exercise,Ischemic stroke,Decrease,4.0,5,Draft
,Male,Tobacco smoking behavior - finding,Increase,1.0,5,Draft
,Body mass index,Ischemic stroke,Increase,5.0,5,Draft
,Exercise,Body mass index,Decrease,6.0,5,Draft
,Dyslipidemia,Ischemic stroke,Increase,5.2,5,Draft
,Exercise,Kidney disease,Decrease,2.0,5,Draft
,Socioeconomic status - Low,Ischemic stroke,Increase,1.75,5,Draft
,Ischemic stroke,Depressive disorder,Increase,3.84,5,Draft
,Ischemic stroke,Cognitive function finding,Decrease,3.84,5,Draft
,Ischemic stroke,Mortality rate,Increase,6.84,5,Draft
Broersen et al. 2020,Troponin,Ischemic stroke,Increase,0.94,5,Draft
,Heart disease,Troponin,Increase,5.1,5,Draft
,Heart disease,Ischemic stroke,Increase,6.84,5,Draft
,Exercise,Heart disease,Decrease,6.84,5,Draft
,Tobacco smoking behavior - finding,Heart disease,Increase,6.26,5,Draft
,C-reactive protein measurement,Ischemic stroke,Increase,3.92,5,Draft
,Socioeconomic status - Low,Depressive disorder,Increase,3.92,5,Draft
,Age factor,Ischemic stroke,Increase,6.84,5,Draft
,Age factor,Heart disease,Increase,6.84,5,Draft
,High fat diet,Essential hypertension,Increase,5.0,5,Draft
,High fat diet,Heart disease,Increase,5.0,5,Draft
,Dyslipidemia,Depressive disorder,Increase,3.29,5,Draft
,Dyslipidemia,Cognitive function finding,Decrease,3.29,5,Draft
,Vascular disorder,Ischemic stroke,Increase,6.84,5,Draft
,Age factor,Vascular disorder,Increase,3.44,5,Draft
,Vascular disorder,Kidney disease,Increase,6.84,5,Draft
,Diabetes mellitus,Kidney disease,Increase,6.84,5,Draft
,Diabetes mellitus,Ischemic stroke,Increase,6.84,5,Draft
,High fat diet,Dyslipidemia,Increase,6.84,5,Draft
,High fat diet,Diabetes mellitus,Increase,6.84,5,Draft
,High fat diet,C-reactive protein measurement,Increase,3.68,5,Draft
,Depressive disorder,Mortality rate,Increase,6.0,5,Draft
,Coping behavior,Depressive disorder,Decrease,6.84,5,Draft
,Socioeconomic status - Low,High fat diet,Increase,2.93,5,Draft
,Alcohol consumption unknown,Ischemic stroke,Increase,6.84,5,Draft
,Alcohol consumption unknown,Diabetes mellitus,Increase,6.84,5,Draft
,Alcohol consumption unknown,Coping behavior,Decrease,6.13,5,Draft
,Exercise,Coping behavior,Increase,0.51,5,Draft
,Exercise,Essential hypertension,Decrease,2.72,5,Draft
,Exercise,Ischemic stroke,Decrease,6.84,5,Draft
,Exercise,Mortality rate,Decrease,6.84,5,Draft
,Inflammation,Mortality rate,Increase,5.0,5,Draft
,Inflammation,C-reactive protein measurement,Increase,6.84,5,Draft
,Inflammation,Cognitive function finding,Decrease,1.63,5,Draft
,Inflammation,Depressive disorder,Increase,0.51,5,Draft
,Alcohol consumption unknown,Inflammation,Increase,3.44,5,Draft
,Socioeconomic status - Low,Alcohol consumption unknown,Increase,3.44,5,Draft
,Essential hypertension,Heart disease,Increase,6.84,5,Draft
,Cognitive function finding,Coping behavior,Increase,2.45,5,Draft
,Inflammation,Vascular disorder,Increase,4.17,5,Draft
,High fat diet,Inflammation,Increase,4.17,5,Draft
,Inflammation,Heart disease,Increase,4.17,5,Draft
,Essential hypertension,Ischemic stroke,Increase,6.84,5,Draft
McCarthy 2018,Acute heart failure,Myocardial infarction due to demand ischemia,Increase,6.0,6,Final
,Acute heart failure,Mortality rate,Increase,6.84,6,Final
,Acute heart failure,N-terminal pro-B-type natriuretic peptide,Increase,6.0,6,Final
,Age factor,Diabetes mellitus,Increase,4.52,6,Final
,Age factor,Ischemic stroke,Increase,6.84,6,Final
,Age factor,Atrial fibrillation,Increase,4.34,6,Final
"Bishop, Lu, & Yankner, 2010",Age factor,Impaired cognition,Increase,4.0,6,Final
,Age factor,Atherosclerosis,Increase,6.84,6,Final
Diener 2020,Use of anticoagulation,Ischemic stroke,Decrease,3.0,6,Final
Diener 2020,Use of anticoagulation,Ischemic stroke,Decrease,3.0,6,Final
,Use of anticoagulation,Thrombosis - Heart structure,Decrease,2.72,6,Final
,Atherosclerosis,Ischemic stroke,Increase,6.68,6,Final
,Atherosclerosis,Myocardial infarction due to atherothrombotic coronary artery disease,Increase,6.84,6,Final
,Atrial fibrillation,Ischemic stroke,Increase,6.84,6,Final
,Atrial fibrillation,Troponin,Increase,6.0,6,Final
,Atrial fibrillation,N-terminal pro-B-type natriuretic peptide,Increase,6.0,6,Final
,Atrial fibrillation,Cardiac arrhythmia,Increase,6.0,6,Final
,Body mass index,Myocardial infarction due to atherothrombotic coronary artery disease,Increase,6.84,6,Final
,Body mass index,Ischemic stroke,Increase,6.84,6,Final
,Body mass index,Ischemic stroke,Increase,4.34,6,Final
Rizas et al 2017,Autonomic cardiovascular function - Abnormal,Cardiac arrhythmia,Increase,4.0,6,Final
,Thrombosis - Heart structure,Ischemic stroke,Increase,5.1,6,Final
,Chronic heart failure,Impaired cognition,Increase,4.52,6,Final
,Chronic heart failure,Ischemic stroke,Increase,4.34,6,Final
,Chronic heart failure,N-terminal pro-B-type natriuretic peptide,Increase,3.22,6,Final
,Chronic heart failure,Troponin,Increase,6.0,6,Final
,Depressive disorder,Physical fitness state,Decrease,2.68,6,Final
,Depressive disorder,Mortality rate,Increase,2.68,6,Final
Ghadri 2018,Depressive disorder,Takotsubo cardiomyopathy,Increase,2.0,6,Final
,Diabetes mellitus,Mortality rate,Increase,4.52,6,Final
,Diabetes mellitus,Infectious disease,Increase,3.22,6,Final
,Diabetes mellitus,Myocardial infarction due to atherothrombotic coronary artery disease,Increase,6.0,6,Final
,Diabetes mellitus,Ischemic stroke,Increase,4.52,6,Final
,Diabetes mellitus,Body mass index,Increase,4.52,6,Final
,Diabetes mellitus,Autonomic cardiovascular function - Abnormal,Increase,4.0,6,Final
,Dissection procedure,Ischemic stroke,Increase,3.92,6,Final
,Dysphagia,Infectious disease,Increase,3.22,6,Final
,"Catecholamines, total measurement",Cardiac arrhythmia,Increase,3.76,6,Final
Ghadri 2018,"Catecholamines, total measurement",Takotsubo cardiomyopathy,Increase,6.0,6,Final
,Exercise,Essential hypertension,Decrease,3.92,6,Final
Diener 2020,Exercise,Ischemic stroke,Decrease,4.0,6,Final
Strohle et al 2015,Exercise,Impaired cognition,Decrease,3.0,6,Final
,Exercise,Atrial fibrillation,Increase,2.52,6,Final
,Exercise,Myocardial infarction due to atherothrombotic coronary artery disease,Decrease,2.72,6,Final
,Exercise,Chronic heart failure,Decrease,3.92,6,Final
Scheitz et al 2014,Ischemic stroke,Troponin,Increase,6.0,6,Final
,Ischemic stroke,Ischemic stroke,Increase,6.84,6,Final
Diener 2020,Ischemic stroke,Mortality rate,Increase,6.0,6,Final
scheitz 2018,Ischemic stroke,Acute heart failure,Increase,3.0,6,Final
,Ischemic stroke,Physical fitness state,Decrease,4.34,6,Final
,Ischemic stroke,Impaired cognition,Increase,4.52,6,Final
Thygesen 2018,Ischemic stroke,Myocardial infarction due to demand ischemia,Increase,6.0,6,Final
,Ischemic stroke,Depressive disorder,Increase,4.61,6,Final
"Scheitz, Templin 2021 under review",Ischemic stroke,Takotsubo cardiomyopathy,Increase,3.0,6,Final
,Ischemic stroke,Infectious disease,Increase,3.22,6,Final
"Scheitz et al, Sposato 2020",Ischemic stroke,"Catecholamines, total measurement",Increase,2.0,6,Final
,Ischemic stroke,Seizure,Increase,4.17,6,Final
,Ischemic stroke,Dysphagia,Increase,3.22,6,Final
scheitz et al 2018,Ischemic stroke,Cardiac arrhythmia,Increase,6.0,6,Final
,Physical fitness state,Ischemic stroke,Increase,4.34,6,Final
,Physical fitness state,Ischemic stroke,Decrease,4.34,6,Final
,Physical fitness state,Mortality rate,Decrease,6.0,6,Final
,Hyperlipidemia,Myocardial infarction due to atherothrombotic coronary artery disease,Increase,6.84,6,Final
,Hyperlipidemia,Ischemic stroke,Increase,3.22,6,Final
,Essential hypertension,Myocardial infarction due to atherothrombotic coronary artery disease,Increase,6.84,6,Final
,Essential hypertension,Ischemic stroke,Increase,5.1,6,Final
,Essential hypertension,Dissection procedure,Increase,3.92,6,Final
,Essential hypertension,Chronic heart failure,Increase,5.1,6,Final
Sandoval 2019,Essential hypertension,Myocardial infarction due to demand ischemia,Increase,4.0,6,Final
,Essential hypertension,Acute heart failure,Increase,5.1,6,Final
,Infectious disease,Mortality rate,Increase,3.22,6,Final
Sandoval 2019,Infectious disease,Myocardial infarction due to demand ischemia,Increase,4.0,6,Final
van der Linden 2017,Kidney disease,Troponin,Increase,2.0,6,Final
,Myocardial infarction due to atherothrombotic coronary artery disease,Ischemic stroke,Increase,2.68,6,Final
Rizas et al 2017,Myocardial infarction due to atherothrombotic coronary artery disease,Autonomic cardiovascular function - Abnormal,Increase,6.0,6,Final
"thygesen et al 2018, McAloon 2016",Myocardial infarction due to atherothrombotic coronary artery disease,Mortality rate,Increase,6.0,6,Final
thygesen et al 2018,Myocardial infarction due to atherothrombotic coronary artery disease,Cardiac arrhythmia,Increase,6.0,6,Final
thygesen et al 2018,Myocardial infarction due to atherothrombotic coronary artery disease,Troponin,Increase,6.0,6,Final
Thygesen 2018,Myocardial infarction due to atherothrombotic coronary artery disease,Acute heart failure,Increase,6.0,6,Final
Thygesen 2018,Myocardial infarction due to atherothrombotic coronary artery disease,Thrombosis - Heart structure,Increase,5.0,6,Final
,Myocardial infarction due to atherothrombotic coronary artery disease,Chronic heart failure,Increase,6.84,6,Final
DeFilippis 2019,Myocardial infarction due to demand ischemia,Troponin,Increase,6.0,6,Final
McCarthy et al 2018,Myocardial infarction due to demand ischemia,Mortality rate,Increase,6.0,6,Final
Wiktor 2018,Patent foramen ovale,Ischemic stroke,Increase,3.0,6,Final
,Ischemic stroke,Mortality rate,Increase,6.0,6,Final
,Seizure,Mortality rate,Increase,6.54,6,Final
Faria et al 2020,Seizure,Troponin,Increase,4.0,6,Final
,Cardiac arrhythmia,Mortality rate,Increase,6.68,6,Final
,Male,Tobacco smoking behavior - finding,Increase,3.84,6,Final
,Male,Ischemic stroke,Increase,4.34,6,Final
,Male,Takotsubo cardiomyopathy,Decrease,2.68,6,Final
,Tobacco smoking behavior - finding,Ischemic stroke,Increase,6.84,6,Final
,Tobacco smoking behavior - finding,Myocardial infarction due to atherothrombotic coronary artery disease,Increase,6.84,6,Final
,Site of lesion - Autonomic nervous system structure,Autonomic cardiovascular function - Abnormal,Increase,2.72,6,Final
Scheitz et.al 2018 lancet,Site of lesion - Autonomic nervous system structure,Cardiac arrhythmia,Increase,6.0,6,Final
Krause et al 2017,Site of lesion - Autonomic nervous system structure,Troponin,Increase,6.0,6,Final
Scheitz 2018,Site of lesion - Autonomic nervous system structure,"Catecholamines, total measurement",Increase,2.0,6,Final
Ghadri et at 2018,Takotsubo cardiomyopathy,Troponin,Increase,4.0,6,Final
scheitz 2014,Troponin,Physical fitness state,Decrease,3.0,6,Final
broersen et al 2020,Troponin,Impaired cognition,Increase,4.0,6,Final
,Age factor,Ischemic stroke,Increase,6.84,7,Final
,Male,Ischemic stroke,Increase,6.84,7,Final
,Body mass index,Ischemic stroke,Increase,6.84,7,Final
Gorelick et al (1997),Hypercholesterolemia,Ischemic stroke,Increase,6.0,7,Final
MacMahon et al (1990),Essential hypertension,Ischemic stroke,Increase,6.0,7,Final
,Body mass index,Hypercholesterolemia,Increase,6.84,7,Final
,Body mass index,Essential hypertension,Increase,6.84,7,Final
,Hypercholesterolemia,Atherosclerosis,Increase,6.84,7,Final
,Atrial fibrillation,Ischemic stroke,Increase,6.84,7,Final
,Myocardial infarction,Ischemic stroke,Increase,4.17,7,Final
Shinton et al (1999),Tobacco smoking behavior - finding,Ischemic stroke,Increase,6.0,7,Final
Wilhelmsson et al (1975),Tobacco smoking behavior - finding,Myocardial infarction,Increase,6.0,7,Final
,Tobacco smoking behavior - finding,Essential hypertension,Increase,6.84,7,Final
,Tobacco smoking behavior - finding,Atherosclerosis,Increase,6.84,7,Final
,Ischemic stroke,Ischemic stroke,Increase,6.84,7,Final
,Hypercholesterolemia,Ischemic stroke,Increase,6.84,7,Final
,Hypercholesterolemia,Ischemic stroke,Increase,2.58,7,Final
,Age factor,Ischemic stroke,Increase,2.68,7,Final
,Body mass index,Ischemic stroke,Increase,2.68,7,Final
,Atherosclerosis,Ischemic stroke,Increase,2.68,7,Final
,Atrial fibrillation,Ischemic stroke,Increase,2.68,7,Final
,Myocardial infarction,Ischemic stroke,Increase,2.68,7,Final
,Tobacco smoking behavior - finding,Ischemic stroke,Increase,2.68,7,Final
,Use of anticoagulation,Ischemic stroke,Decrease,2.68,7,Final
Schneider et al. (2004),Ischemic stroke,Cognitive function finding,Decrease,2.0,7,Final
Snowdon et al. (1997),Ischemic stroke,Cognitive function finding,Decrease,2.0,7,Final
Schneider et al. (2014),Atherosclerosis,Cognitive function finding,Decrease,2.0,7,Final
Guerchet et al (2011),Age factor,Cognitive function finding,Decrease,2.68,7,Final
,Diabetes mellitus,Ischemic stroke,Increase,2.0,7,Final
Kannell et al (1979),Diabetes mellitus,Ischemic stroke,Increase,2.68,7,Final
,Diabetes mellitus,Myocardial infarction,Increase,2.68,7,Final
,Diabetes mellitus,Atherosclerosis,Increase,2.68,7,Final
,Male,Atherosclerosis,Increase,2.68,7,Final
,Body mass index,Diabetes mellitus,Increase,2.68,7,Final
,Age factor,Diabetes mellitus,Increase,2.68,7,Final
,Exercise,Ischemic stroke,Decrease,2.68,7,Final
,Exercise,Body mass index,Decrease,2.68,7,Final
,Exercise,Hypercholesterolemia,Decrease,0.83,7,Final
,Exercise,Essential hypertension,Decrease,3.29,7,Final
,Exercise,Atherosclerosis,Decrease,0.78,7,Final
,Exercise,Myocardial infarction,Decrease,3.29,7,Final
,Exercise,Ischemic stroke,Decrease,3.29,7,Final
,Exercise,Diabetes mellitus,Decrease,3.6,7,Final
,Acute infective endocarditis,Ischemic stroke,Increase,3.6,7,Final
,Alcohol consumption unknown,Ischemic stroke,Increase,3.6,7,Final
,Alcohol consumption unknown,Ischemic stroke,Increase,1.46,7,Final
,Alcohol consumption unknown,Essential hypertension,Increase,1.46,7,Final
,Age factor,Alcohol consumption unknown,Increase,0.89,7,Final
,Male,Alcohol consumption unknown,Increase,1.81,7,Final
,Stress,Ischemic stroke,Increase,2.58,7,Final
,Stress,Essential hypertension,Increase,2.58,7,Final
,Stress,Myocardial infarction,Increase,2.58,7,Final
,Stress,Tobacco smoking behavior - finding,Increase,1.11,7,Final
,Stress,Ischemic stroke,Increase,1.11,7,Final
,Stress,Alcohol consumption unknown,Increase,1.11,7,Final
,Stress,Atherosclerosis,Increase,1.11,7,Final
,Diabetes mellitus,Cognitive function finding,Decrease,2.0,7,Final
Knopman et al (2001),Administration of prophylactic statin,Ischemic stroke,Decrease,1.0,7,Final
Hebert et al (1997),Administration of prophylactic statin,Hypercholesterolemia,Decrease,4.8,7,Final
,Administration of prophylactic statin,Atherosclerosis,Decrease,1.4,7,Final
,Administration of prophylactic statin,Myocardial infarction,Decrease,2.86,7,Final
,Lipoprotein (a),Ischemic stroke,Increase,2.0,7,Final
Nave et al (2015),Lipoprotein (a),Atherosclerosis,Increase,2.68,7,Final
,Atherosclerosis,Ischemic stroke,Increase,5.0,7,Final
Hong et al. (2016),Essential hypertension,Cognitive function finding,Decrease,2.68,7,Final
Knopman et al (2001),Antihypertensive therapy,Ischemic stroke,Decrease,2.68,7,Final
Collins et al (1990),Antihypertensive therapy,Myocardial infarction,Decrease,2.68,7,Final
Collins et al (1990),Body mass index,Atherosclerosis,Increase,2.68,7,Final
McGill et al (2002),Body mass index,Myocardial infarction,Increase,2.68,7,Final
Burn et al. (1994),Ischemic stroke,Ischemic stroke,Increase,6.84,9,Final
Brønnum-Hansen et al. (2001),Ischemic stroke,Mortality rate,Increase,6.84,9,Final
Hankey et al. (2002),Ischemic stroke,Disability,Increase,6.84,9,Final
Davenport et al. (1996),Ischemic stroke,Pneumonia,Increase,6.0,9,Final
Johnston et al. (1998),Ischemic stroke,Urinary tract infectious disease,Increase,6.0,9,Final
Davenport et al. (1996),Pneumonia,Mortality rate,Increase,6.0,9,Final
Finlayson et al. (2011),Ischemic stroke,Mortality rate,Increase,2.68,9,Final
Poisson et al. (2010),Ischemic stroke,Disability,Increase,2.68,9,Final
Ersoz et al. (2007),Procedure involving urinary catheter,Urinary tract infectious disease,Increase,6.0,9,Final
van der Worp & Kappelle (1998),Ischemic stroke,Dysfunction of urinary bladder,Increase,6.0,9,Final
,Ischemic stroke,Procedure involving urinary catheter,Increase,2.0,9,Final
Poisson et al. (2010),Dysfunction of urinary bladder,Urinary tract infectious disease,Increase,2.68,9,Final
,Ischemic stroke,Immunosuppression,Increase,0.51,9,Final
Maki & Tambyah (2001),Immunosuppression,Urinary tract infectious disease,Increase,0.51,9,Final
Gould et al. (2010),Male,Urinary tract infectious disease,Increase,6.0,9,Final
Kong & Young (2000),Age factor,Urinary tract infectious disease,Increase,6.0,9,Final
Poisson et al. (2010),Age factor,Ischemic stroke,Increase,6.0,9,Final
,Urinary tract infectious disease,Mortality rate,Increase,0.51,9,Final
Poisson et al. (2010),Urinary tract infectious disease,Disability,Increase,0.51,9,Final
Poisson et al. (2010),Ischemic stroke,Body temperature,Increase,0.51,9,Final
Azzimondi et al. (1995),Urinary tract infectious disease,Body temperature,Increase,6.84,9,Final
Boysen & Christensen (2001),Pneumonia,Body temperature,Increase,6.84,9,Final
,Body temperature,Mortality rate,Increase,0.51,9,Final
,Body temperature,Disability,Increase,0.51,9,Final
Jauch et al. (2013),Ischemic stroke,Delirium,Increase,0.51,9,Final
Jauch et al. (2013),Age factor,Delirium,Increase,6.84,9,Final
Oldenbeuving et al. (2007),Urinary tract infectious disease,Delirium,Increase,0.51,9,Final
Oldenbeuving et al. (2007),Pneumonia,Delirium,Increase,0.51,9,Final
Oldenbeuving et al. (2007),Delirium,Disability,Increase,0.51,9,Final
Oldenbeuving et al. (2007),Stroke unit,Delirium,Decrease,0.51,9,Final
Oldenbeuving et al. (2007),Dysfunction of urinary bladder,Procedure involving urinary catheter,Increase,0.51,9,Final
Oldenbeuving et al. (2007),Age factor,Pneumonia,Increase,2.68,9,Final
,Pneumonia,Disability,Increase,0.51,9,Final
Finlayson et al. (2011),Ischemic stroke,Dysphagia,Increase,6.0,9,Final
Finlayson et al. (2011),Dysphagia,Pneumonia,Increase,6.84,9,Final
Martino et al. (2005),Dysphagia,Aspiration,Increase,6.84,9,Final
Martino et al. (2005),Aspiration,Pneumonia,Increase,6.84,9,Final
Martino et al. (2005),Tobacco smoking behavior - finding,Ischemic stroke,Increase,6.84,9,Final
Martino et al. (2005),Tobacco smoking behavior - finding,Ischemic stroke,Increase,6.84,9,Final
,Male,Ischemic stroke,Increase,6.84,9,Final
,Atrial fibrillation,Ischemic stroke,Increase,6.84,9,Final
