Author,Exposure,Outcome,Direction,Strength
,myocardial infarction (type 1),chronic heart failure,Increase,6.84
DeFilippis 2019,myocardial infarction (type 2),troponin elevation,Increase,6.0
McCarthy et al 2018,myocardial infarction (type 2),mortality,Increase,6.0
Wiktor 2018,persistent foramen ovale,FIRST ISCHEMIC STROKE,Increase,3.0
,second ischemic stroke,mortality,Increase,6.0
,seizures,mortality,Increase,6.54
Faria et al 2020,seizures,troponin elevation,Increase,4.0
,severe arrrhythmia,mortality,Increase,6.68
,sex (male),smoking,Increase,3.84
,sex (male),FIRST ISCHEMIC STROKE,Increase,4.34
,sex (male),Takotsubo syndrome,Decrease,2.68
,smoking,FIRST ISCHEMIC STROKE,Increase,6.84
,smoking,myocardial infarction (type 1),Increase,6.84
,stroke lesion affecting central autonomic network,cardiac autonomic dysbalance,Increase,2.72
Scheitz et.al 2018 lancet,stroke lesion affecting central autonomic network,severe arrrhythmia,Increase,6.0
Krause et al 2017,stroke lesion affecting central autonomic network,troponin elevation,Increase,6.0
Scheitz 2018,stroke lesion affecting central autonomic network,elevated catecholamines,Increase,2.0
Ghadri et at 2018,Takotsubo syndrome,troponin elevation,Increase,4.0
scheitz 2014,troponin elevation,higher fitness/mobility post,Decrease,3.0
broersen et al 2020,troponin elevation,kognitive decline,Increase,4.0
