Author,Exposure,Outcome,Direction,Strength,ID,Status,Exposure_Standardized,Outcome_Standardized
Halperin et al. (2008),Hyperlipidemia,Diabetes,Increase,6.0,1,Final,Hyperlipidemia,Diabetes mellitus
,Hyperlipidemia,Ischemic stroke,Increase,6.0,1,Final,Hyperlipidemia,Ischemic stroke_1.0
,Diabetes,Atrial fibrillation,Increase,5.0,1,Final,Diabetes mellitus,Atrial fibrillation
,Smoking,Hyperlipidemia,Increase,3.0,1,Final,Smoker,Hyperlipidemia
,Sex (Male),Diabetes,Increase,3.0,1,Final,Male,Diabetes mellitus
,Diabetes,Hypertension,Increase,2.0,1,Final,Diabetes mellitus,Hypertensive disorder
,Hyperlipidemia,GFR,Decrease,2.0,1,Final,Hyperlipidemia,Glomerular filtration rate
Bohne et al. (2019),Sex (Male),BMI,Decrease,2.0,1,Final,Male,Increased body mass index
Sensi et al. (2015),Hypertension,GFR,Decrease,2.0,1,Final,Hypertensive disorder,Glomerular filtration rate
Hallit et al. (2017),Diabetes,GFR,Increase,3.0,1,Final,Diabetes mellitus,Glomerular filtration rate
Jain & Ducatman (2018),Smoking,CKD,Increase,3.0,1,Final,Smoker,Chronic kidney disease
Kautzky-Willer et al. (2016),CKD,Atrial fibrillation,Increase,2.0,1,Final,Chronic kidney disease,Atrial fibrillation
Wishner (1996),CKD,Ischemic stroke,Increase,4.0,1,Final,Chronic kidney disease,Ischemic stroke_1.0
,NIHSS_stroke,NIHSS_followup,Increase,6.0,2,Final,Assessment using National Institutes of Health stroke scale_1.0,Assessment using National Institutes of Health stroke scale_2.0
,NIHSS_stroke,mRS_follow_up,Increase,6.84,2,Final,Assessment using National Institutes of Health stroke scale_1.0,Assessment using Modified Rankin Scale_2.0
,mRS_stroke,mRS_follow_up,Increase,6.84,2,Final,Assessment using Modified Rankin Scale_1.0,Assessment using Modified Rankin Scale_2.0
,mRS_stroke,NIHSS_followup,Increase,6.84,2,Final,Assessment using Modified Rankin Scale_1.0,Assessment using National Institutes of Health stroke scale_2.0
,lesion_size,NIHSS_stroke,Increase,6.84,2,Final,Lesion size,Assessment using National Institutes of Health stroke scale_1.0
,lesion_size,mRS_stroke,Increase,6.84,2,Final,Lesion size,Assessment using Modified Rankin Scale_1.0
,lesion_size,mRS_follow_up,Increase,6.84,2,Final,Lesion size,Assessment using Modified Rankin Scale_2.0
,lesion_size,NIHSS_followup,Increase,6.84,2,Final,Lesion size,Assessment using National Institutes of Health stroke scale_2.0
,time_to_therapy,NIHSS_followup,Increase,6.84,2,Final,Modifier,Assessment using National Institutes of Health stroke scale_2.0
,time_to_therapy,mRS_follow_up,Increase,6.84,2,Final,Modifier,Assessment using Modified Rankin Scale_2.0
,lesion_size,Barthel_Index_stroke,Decrease,6.0,2,Final,Lesion size,Activities of daily living assessment_1.0
eloquent / non-eloquent,lesion_location,Barthel_Index_stroke,Decrease,6.0,2,Final,Finding of lesion,Activities of daily living assessment_1.0
eloquent / non-eloquent,lesion_location,NIHSS_stroke,Increase,6.84,2,Final,Finding of lesion,Assessment using National Institutes of Health stroke scale_1.0
eloquent / non-eloquent,lesion_location,NIHSS_followup,Increase,6.84,2,Final,Finding of lesion,Assessment using National Institutes of Health stroke scale_2.0
eloquent / non-eloquent,lesion_location,mRS_follow_up,Increase,6.84,2,Final,Finding of lesion,Assessment using Modified Rankin Scale_2.0
eloquent / non-eloquent,lesion_location,mRS_stroke,Increase,6.84,2,Final,Finding of lesion,Assessment using Modified Rankin Scale_1.0
,NIHSS_stroke,Barthel_Index_follow_up,Decrease,6.0,2,Final,Assessment using National Institutes of Health stroke scale_1.0,Activities of daily living assessment_2.0
,mRS_stroke,Barthel_Index_follow_up,Decrease,6.0,2,Final,Assessment using Modified Rankin Scale_1.0,Activities of daily living assessment_2.0
,lesion_size,Barthel_Index_follow_up,Decrease,6.0,2,Final,Lesion size,Activities of daily living assessment_2.0
,time_to_therapy,Barthel_Index_follow_up,Decrease,6.0,2,Final,Modifier,Activities of daily living assessment_2.0
,Barthel_Index_stroke,Barthel_Index_follow_up,Increase,6.84,2,Final,Activities of daily living assessment_1.0,Activities of daily living assessment_2.0
eloquent/non eloquent,lesion_location,Barthel_Index_follow_up,Decrease,6.0,2,Final,Finding of lesion,Activities of daily living assessment_2.0
,TOAST (etiology),lesion_size,Increase,6.0,2,Final,Ischemic stroke,Lesion size
,TOAST (etiology),lesion_location,Increase,6.0,2,Final,Ischemic stroke,Finding of lesion
cardioembolic,present atrial fibrillation,TOAST (etiology),Increase,2.68,2,Final,Atrial fibrillation,Ischemic stroke
,time_till_diagnosis,time_to_therapy,Increase,2.68,2,Final,Drug type,Modifier
meaning the general population being aware of typical stroke symptoms,awareness of FAST-Scheme,time_till_diagnosis,Decrease,2.0,2,Final,Unit,Drug type
,time_till_diagnosis,rate of thrombolysis,Decrease,6.84,2,Final,Drug type,Thrombolysis of artery
,time_till_diagnosis,rate of thrombectomy,Decrease,6.84,2,Final,Drug type,Removal of thrombus
,rate of thrombolysis,lesion_size,Decrease,2.93,2,Final,Thrombolysis of artery,Lesion size
,rate of thrombectomy,lesion_size,Decrease,2.93,2,Final,Removal of thrombus,Lesion size
cardioembolic,TOAST (etiology),rate of thrombolysis,Increase,2.93,2,Final,Ischemic stroke,Thrombolysis of artery
accesible arteries,TOAST (etiology),rate of thrombectomy,Increase,2.68,2,Final,Ischemic stroke,Removal of thrombus
macroangiopathic,arteriosklerosis,TOAST (etiology),Increase,2.68,2,Final,Arteriosclerosis,Ischemic stroke
,smoking,arteriosklerosis,Increase,6.84,2,Final,Smoker,Arteriosclerosis
,Age,arteriosklerosis,Increase,6.84,2,Final,Age factor,Arteriosclerosis
,Diabetes mellitus,arteriosklerosis,Increase,6.84,2,Final,Diabetes mellitus,Arteriosclerosis
,Dyslipidemia,arteriosklerosis,Increase,6.84,2,Final,Dyslipidemia,Arteriosclerosis
,Lipoprotein (a),arteriosklerosis,Increase,6.84,2,Final,Lipoprotein (a) hyperlipoproteinemia,Arteriosclerosis
,Vasculitis,arteriosklerosis,Increase,6.84,2,Final,Vasculitis,Arteriosclerosis
cardioembolic,persistent foramen ovale,TOAST (etiology),Increase,6.84,2,Final,Patent foramen ovale,Ischemic stroke
,hypertension,first ischemic stroke,Increase,6.0,3,Draft,Hypertensive disorder,Ischemic stroke_1.0
,BMI_t0,first ischemic stroke,Increase,6.84,3,Draft,Increased body mass index_1.0,Ischemic stroke_1.0
,age,first ischemic stroke,Increase,6.84,3,Draft,Age factor,Ischemic stroke_1.0
,sex(being male),first ischemic stroke,Increase,6.84,3,Draft,Male,Ischemic stroke_1.0
,smoking,first ischemic stroke,Increase,6.84,3,Draft,Smoker,Ischemic stroke_1.0
,diabetes,first ischemic stroke,Increase,6.84,3,Draft,Diabetes mellitus,Ischemic stroke_1.0
,high blood cholesterol levels,first ischemic stroke,Increase,6.84,3,Draft,Hypercholesterolemia,Ischemic stroke_1.0
,high drinking levels,first ischemic stroke,Increase,6.84,3,Draft,Heavy drinker,Ischemic stroke_1.0
,high fat salt diet,first ischemic stroke,Increase,6.0,3,Draft,High fat diet,Ischemic stroke_1.0
,high fat salt diet,hypertension,Increase,2.68,3,Draft,High fat diet,Hypertensive disorder
,atrial fibrillation,first ischemic stroke,Increase,6.0,3,Draft,Atrial fibrillation,Ischemic stroke_1.0
,Atherosclerosis,first ischemic stroke,Increase,6.84,3,Draft,Atherosclerosis,Ischemic stroke_1.0
,high fat salt diet,Atherosclerosis,Increase,0.57,3,Draft,High fat diet,Atherosclerosis
,BMI_t1,second ischemic stroke,Increase,0.57,3,Draft,Increased body mass index_2.0,Ischemic stroke_2.0
,first ischemic stroke,BMI_t1,Decrease,0.57,3,Draft,Ischemic stroke_1.0,Increased body mass index_2.0
,smoking,second ischemic stroke,Increase,6.84,3,Draft,Smoker,Ischemic stroke_2.0
,age,second ischemic stroke,Increase,6.84,3,Draft,Age factor,Ischemic stroke_2.0
,sex(being male),second ischemic stroke,Increase,6.84,3,Draft,Male,Ischemic stroke_2.0
,high drinking levels,second ischemic stroke,Increase,6.84,3,Draft,Heavy drinker,Ischemic stroke_2.0
,high fat salt diet,second ischemic stroke,Increase,6.84,3,Draft,High fat diet,Ischemic stroke_2.0
,diabetes,second ischemic stroke,Increase,6.84,3,Draft,Diabetes mellitus,Ischemic stroke_2.0
,arterial hypertension,endothelial dysfunction,Increase,6.84,4,Draft,Hypertensive disorder,Cardiac syndrome X
,Thrombolysis,functional post stroke outcome,Increase,2.68,4,Draft,Thrombolysis of artery,Assessment using Modified Rankin Scale
,lesion size,functional post stroke outcome,Decrease,6.26,4,Draft,Lesion size,Assessment using Modified Rankin Scale
,arterial hypertension,functional post stroke outcome,Decrease,6.84,4,Draft,Hypertensive disorder,Assessment using Modified Rankin Scale
,Obesity,functional post stroke outcome,Decrease,6.84,4,Draft,Obesity,Assessment using Modified Rankin Scale
,Obesity,endothelial dysfunction,Increase,4.61,4,Draft,Obesity,Cardiac syndrome X
,endothelial dysfunction,EMV,Increase,6.84,4,Draft,Cardiac syndrome X,Drug
,Obesity,1. stroke incidence,Increase,6.84,4,Draft,Obesity,Ischemic stroke_1.0
,arterial hypertension,1. stroke incidence,Increase,6.84,4,Draft,Hypertensive disorder,Ischemic stroke_1.0
,1. stroke incidence,functional post stroke outcome,Decrease,1.0,4,Draft,Ischemic stroke_1.0,Assessment using Modified Rankin Scale
,endothelial dysfunction,1. stroke incidence,Increase,5.42,4,Draft,Cardiac syndrome X,Ischemic stroke_1.0
,EMV,secondary cardiovascular risk,Increase,6.84,4,Draft,Drug,Risk of cardiovascular disease
,arterial hypertension,secondary cardiovascular risk,Increase,6.84,4,Draft,Hypertensive disorder,Risk of cardiovascular disease
,endothelial dysfunction,secondary cardiovascular risk,Increase,2.0,4,Draft,Cardiac syndrome X,Risk of cardiovascular disease
,EMV,1. stroke incidence,Increase,4.0,4,Draft,Drug,Ischemic stroke_1.0
,1. stroke incidence,lesion size,Increase,6.84,4,Draft,Ischemic stroke_1.0,Lesion size
,1. stroke incidence,secondary cardiovascular risk,Increase,6.84,4,Draft,Ischemic stroke_1.0,Risk of cardiovascular disease
,lesion size,secondary cardiovascular risk,Increase,3.0,4,Draft,Lesion size,Risk of cardiovascular disease
,vascular inflammation,secondary cardiovascular risk,Increase,6.84,4,Draft,Vasculitis,Risk of cardiovascular disease
,endothelial dysfunction,vascular inflammation,Increase,3.14,4,Draft,Cardiac syndrome X,Vasculitis
,vascular inflammation,LMV,Increase,5.31,4,Draft,Vasculitis,Race
,LMV,secondary cardiovascular risk,Increase,5.31,4,Draft,Race,Risk of cardiovascular disease
,Smoking,Stroke,Increase,6.0,5,Draft,Smoker,Ischemic stroke_1.0
,kidney disease,Stroke,Increase,5.0,5,Draft,Kidney disease,Ischemic stroke_1.0
,male sex,Stroke,Increase,1.0,5,Draft,Male,Ischemic stroke_1.0
,exercise,Stroke,Decrease,4.0,5,Draft,Exercises regularly,Ischemic stroke_1.0
,male sex,Smoking,Increase,1.0,5,Draft,Male,Smoker
,BMI,Stroke,Increase,5.0,5,Draft,Increased body mass index,Ischemic stroke_1.0
,exercise,BMI,Decrease,6.0,5,Draft,Exercises regularly,Increased body mass index
,dyslipidemia,Stroke,Increase,5.2,5,Draft,Dyslipidemia,Ischemic stroke_1.0
,exercise,kidney disease,Decrease,2.0,5,Draft,Exercises regularly,Kidney disease
,low socioeconomic status,Stroke,Decrease,1.75,5,Draft,Economic status,Ischemic stroke_1.0
,Stroke,Depression,Increase,3.84,5,Draft,Ischemic stroke_1.0,Depressive disorder
,Stroke,Cognitive dysfunction,Increase,3.84,5,Draft,Ischemic stroke_1.0,Impaired cognition
,Stroke,Mortality,Increase,6.84,5,Draft,Ischemic stroke_1.0,Death
Broersen et al. 2020,hs cardiac Troponin,Stroke,Increase,0.94,5,Draft,Cardiac troponin T,Ischemic stroke_1.0
,cardiac disease,hs cardiac Troponin,Increase,5.1,5,Draft,Heart disease,Cardiac troponin T
,cardiac disease,Stroke,Increase,6.84,5,Draft,Heart disease,Ischemic stroke_1.0
,exercise,cardiac disease,Decrease,6.84,5,Draft,Exercises regularly,Heart disease
,Smoking,cardiac disease,Increase,6.26,5,Draft,Smoker,Heart disease
,elevated CRP,Stroke,Increase,3.92,5,Draft,C-reactive protein above reference range,Ischemic stroke_1.0
,low socioeconomic status,Depression,Decrease,3.92,5,Draft,Economic status,Depressive disorder
,age,Stroke,Increase,6.84,5,Draft,Age factor,Ischemic stroke_1.0
,age,cardiac disease,Increase,6.84,5,Draft,Age factor,Heart disease
,high fat/ high carbonhydrate diet,arterial hypertension,Increase,5.0,5,Draft,High fat diet,Hypertensive disorder
,high fat/ high carbonhydrate diet,arterial hypertension,Increase,5.0,5,Draft,High carbohydrate diet,Hypertensive disorder
,high fat/ high carbonhydrate diet,cardiac disease,Increase,5.0,5,Draft,High fat diet,Heart disease
,high fat/ high carbonhydrate diet,cardiac disease,Increase,5.0,5,Draft,High carbohydrate diet,Heart disease
,dyslipidemia,Depression,Increase,3.29,5,Draft,Dyslipidemia,Depressive disorder
,dyslipidemia,Cognitive dysfunction,Increase,3.29,5,Draft,Dyslipidemia,Impaired cognition
,vascular disease,Stroke,Increase,6.84,5,Draft,Vascular disorder,Ischemic stroke_1.0
,age,vascular disease,Increase,3.44,5,Draft,Age factor,Vascular disorder
,vascular disease,kidney disease,Increase,6.84,5,Draft,Vascular disorder,Kidney disease
,diabetes,kidney disease,Increase,6.84,5,Draft,Diabetes mellitus,Kidney disease
,diabetes,Stroke,Increase,6.84,5,Draft,Diabetes mellitus,Ischemic stroke_1.0
,high fat/ high carbonhydrate diet,dyslipidemia,Increase,6.84,5,Draft,High fat diet,Dyslipidemia
,high fat/ high carbonhydrate diet,dyslipidemia,Increase,6.84,5,Draft,High carbohydrate diet,Dyslipidemia
,high fat/ high carbonhydrate diet,diabetes,Increase,6.84,5,Draft,High fat diet,Diabetes mellitus
,high fat/ high carbonhydrate diet,diabetes,Increase,6.84,5,Draft,High carbohydrate diet,Diabetes mellitus
,high fat/ high carbonhydrate diet,elevated CRP,Increase,3.68,5,Draft,High fat diet,C-reactive protein above reference range
,high fat/ high carbonhydrate diet,elevated CRP,Increase,3.68,5,Draft,High carbohydrate diet,C-reactive protein above reference range
,Depression,Mortality,Increase,6.0,5,Draft,Depressive disorder,Death
,coping mechnisms,Depression,Decrease,6.84,5,Draft,Able to cope,Depressive disorder
,low socioeconomic status,high fat/ high carbonhydrate diet,Decrease,2.93,5,Draft,Economic status,High fat diet
,low socioeconomic status,high fat/ high carbonhydrate diet,Decrease,2.93,5,Draft,Economic status,High carbohydrate diet
,habitual alcohol consumption,Stroke,Increase,6.84,5,Draft,Current drinker,Ischemic stroke_1.0
,habitual alcohol consumption,diabetes,Increase,6.84,5,Draft,Current drinker,Diabetes mellitus
,habitual alcohol consumption,coping mechnisms,Decrease,6.13,5,Draft,Current drinker,Able to cope
,exercise,coping mechnisms,Increase,0.51,5,Draft,Exercises regularly,Able to cope
,exercise,arterial hypertension,Decrease,2.72,5,Draft,Exercises regularly,Hypertensive disorder
,exercise,Stroke,Decrease,6.84,5,Draft,Exercises regularly,Ischemic stroke_1.0
,exercise,Mortality,Decrease,6.84,5,Draft,Exercises regularly,Death
,Inflammation,Mortality,Increase,5.0,5,Draft,Inflammation of specific body structures or tissue,Death
,Inflammation,elevated CRP,Increase,6.84,5,Draft,Inflammation of specific body structures or tissue,C-reactive protein above reference range
,Inflammation,Cognitive dysfunction,Increase,1.63,5,Draft,Inflammation of specific body structures or tissue,Impaired cognition
,Inflammation,Depression,Increase,0.51,5,Draft,Inflammation of specific body structures or tissue,Depressive disorder
,habitual alcohol consumption,Inflammation,Increase,3.44,5,Draft,Current drinker,Inflammation of specific body structures or tissue
,low socioeconomic status,habitual alcohol consumption,Decrease,3.44,5,Draft,Economic status,Current drinker
,arterial hypertension,cardiac disease,Increase,6.84,5,Draft,Hypertensive disorder,Heart disease
,Cognitive dysfunction,coping mechnisms,Decrease,2.45,5,Draft,Impaired cognition,Able to cope
,Inflammation,vascular disease,Increase,4.17,5,Draft,Inflammation of specific body structures or tissue,Vascular disorder
,high fat/ high carbonhydrate diet,Inflammation,Increase,4.17,5,Draft,High fat diet,Inflammation of specific body structures or tissue
,high fat/ high carbonhydrate diet,Inflammation,Increase,4.17,5,Draft,High carbohydrate diet,Inflammation of specific body structures or tissue
,Inflammation,cardiac disease,Increase,4.17,5,Draft,Inflammation of specific body structures or tissue,Heart disease
,arterial hypertension,Stroke,Increase,6.84,5,Draft,Hypertensive disorder,Ischemic stroke_1.0
McCarthy 2018,acute heart failure,myocardial infarction (type 2),Increase,6.0,6,Final,Acute heart failure,Myocardial infarction due to demand ischemia
,acute heart failure,mortality,Increase,6.84,6,Final,Acute heart failure,Death
,acute heart failure,nt-pro-BNP,Increase,6.0,6,Final,Acute heart failure,N-terminal pro-B-type natriuretic peptide
,age,diabetes,Increase,4.52,6,Final,Age factor,Diabetes mellitus
,age,FIRST ISCHEMIC STROKE,Increase,6.84,6,Final,Age factor,Ischemic stroke_1.0
,age,atrial fibrillation,Increase,4.34,6,Final,Age factor,Atrial fibrillation
"Bishop, Lu, & Yankner, 2010",age,kognitive decline,Increase,4.0,6,Final,Age factor,Impaired cognition
,age,atherosclerosis,Increase,6.84,6,Final,Age factor,Atherosclerosis
Diener 2020,anticoagulation,second ischemic stroke,Decrease,3.0,6,Final,Anticoagulant therapy,Ischemic stroke_2.0
Diener 2020,anticoagulation,FIRST ISCHEMIC STROKE,Decrease,3.0,6,Final,Anticoagulant therapy,Ischemic stroke_1.0
,anticoagulation,cardiac thrombus,Decrease,2.72,6,Final,Anticoagulant therapy,Thrombus of cardiac chamber
,atherosclerosis,FIRST ISCHEMIC STROKE,Increase,6.68,6,Final,Atherosclerosis,Ischemic stroke_1.0
,atherosclerosis,myocardial infarction (type 1),Increase,6.84,6,Final,Atherosclerosis,Myocardial infarction due to atherothrombotic coronary artery disease
,atrial fibrillation,FIRST ISCHEMIC STROKE,Increase,6.84,6,Final,Atrial fibrillation,Ischemic stroke_1.0
,atrial fibrillation,troponin elevation,Increase,6.0,6,Final,Atrial fibrillation,Troponin
,atrial fibrillation,nt-pro-BNP,Increase,6.0,6,Final,Atrial fibrillation,N-terminal pro-B-type natriuretic peptide
,atrial fibrillation,severe arrrhythmia,Increase,6.0,6,Final,Atrial fibrillation,Cardiac arrhythmia
,BMI,myocardial infarction (type 1),Increase,6.84,6,Final,Increased body mass index,Myocardial infarction due to atherothrombotic coronary artery disease
,BMI,second ischemic stroke,Increase,6.84,6,Final,Increased body mass index,Ischemic stroke_2.0
,BMI,FIRST ISCHEMIC STROKE,Increase,4.34,6,Final,Increased body mass index,Ischemic stroke_1.0
Rizas et al 2017,cardiac autonomic dysbalance,severe arrrhythmia,Increase,4.0,6,Final,Disorder of autonomic nervous system,Cardiac arrhythmia
,cardiac thrombus,FIRST ISCHEMIC STROKE,Increase,5.1,6,Final,Thrombus of cardiac chamber,Ischemic stroke_1.0
,chronic heart failure,kognitive decline,Increase,4.52,6,Final,Chronic heart failure,Impaired cognition
,chronic heart failure,FIRST ISCHEMIC STROKE,Increase,4.34,6,Final,Chronic heart failure,Ischemic stroke_1.0
,chronic heart failure,nt-pro-BNP,Increase,3.22,6,Final,Chronic heart failure,N-terminal pro-B-type natriuretic peptide
,chronic heart failure,troponin elevation,Increase,6.0,6,Final,Chronic heart failure,Troponin
,depression,higher fitness/mobility post,Increase,2.68,6,Final,Depressive disorder_2.0,Physical fitness state_2.0
,depression,higher fitness/mobility post,Increase,2.68,6,Final,Depressive disorder_2.0,Able to mobilize_2.0
,depression,mortality,Increase,2.68,6,Final,Depressive disorder_2.0,Death
Ghadri 2018,depression,Takotsubo syndrome,Increase,2.0,6,Final,Depressive disorder_2.0,Takotsubo cardiomyopathy
,diabetes,mortality,Increase,4.52,6,Final,Diabetes mellitus,Death
,diabetes,infection,Increase,3.22,6,Final,Diabetes mellitus,Infectious disease
,diabetes,myocardial infarction (type 1),Increase,6.0,6,Final,Diabetes mellitus,Myocardial infarction due to atherothrombotic coronary artery disease
,diabetes,FIRST ISCHEMIC STROKE,Increase,4.52,6,Final,Diabetes mellitus,Ischemic stroke_1.0
,diabetes,BMI,Increase,4.52,6,Final,Diabetes mellitus,Increased body mass index
,diabetes,cardiac autonomic dysbalance,Increase,4.0,6,Final,Diabetes mellitus,Disorder of autonomic nervous system
,dissection,FIRST ISCHEMIC STROKE,Increase,3.92,6,Final,Dissection of artery,Ischemic stroke_1.0
,dysphagia,infection,Increase,3.22,6,Final,Dysphagia,Infectious disease
,elevated catecholamines,severe arrrhythmia,Increase,3.76,6,Final,Catecholamine level - finding,Cardiac arrhythmia
Ghadri 2018,elevated catecholamines,Takotsubo syndrome,Increase,6.0,6,Final,Catecholamine level - finding,Takotsubo cardiomyopathy
,exercise (cardiac not excessive),hypertension,Decrease,3.92,6,Final,Exercises regularly,Hypertensive disorder
Diener 2020,exercise (cardiac not excessive),FIRST ISCHEMIC STROKE,Decrease,4.0,6,Final,Exercises regularly,Ischemic stroke_1.0
Strohle et al 2015,exercise (cardiac not excessive),kognitive decline,Decrease,3.0,6,Final,Exercises regularly,Impaired cognition
,exercise (cardiac not excessive),atrial fibrillation,Increase,2.52,6,Final,Exercises regularly,Atrial fibrillation
,exercise (cardiac not excessive),myocardial infarction (type 1),Decrease,2.72,6,Final,Exercises regularly,Myocardial infarction due to atherothrombotic coronary artery disease
,exercise (cardiac not excessive),chronic heart failure,Decrease,3.92,6,Final,Exercises regularly,Chronic heart failure
Scheitz et al 2014,FIRST ISCHEMIC STROKE,troponin elevation,Increase,6.0,6,Final,Ischemic stroke_1.0,Troponin
,FIRST ISCHEMIC STROKE,second ischemic stroke,Increase,6.84,6,Final,Ischemic stroke_1.0,Ischemic stroke_2.0
Diener 2020,FIRST ISCHEMIC STROKE,mortality,Increase,6.0,6,Final,Ischemic stroke_1.0,Death
scheitz 2018,FIRST ISCHEMIC STROKE,acute heart failure,Increase,3.0,6,Final,Ischemic stroke_1.0,Acute heart failure
,FIRST ISCHEMIC STROKE,higher fitness/mobility post,Increase,4.34,6,Final,Ischemic stroke_1.0,Physical fitness state_2.0
,FIRST ISCHEMIC STROKE,higher fitness/mobility post,Increase,4.34,6,Final,Ischemic stroke_1.0,Able to mobilize_2.0
,FIRST ISCHEMIC STROKE,kognitive decline,Increase,4.52,6,Final,Ischemic stroke_1.0,Impaired cognition
Thygesen 2018,FIRST ISCHEMIC STROKE,myocardial infarction (type 2),Increase,6.0,6,Final,Ischemic stroke_1.0,Myocardial infarction due to demand ischemia
,FIRST ISCHEMIC STROKE,depression,Increase,4.61,6,Final,Ischemic stroke_1.0,Depressive disorder_2.0
"Scheitz, Templin 2021 under review",FIRST ISCHEMIC STROKE,Takotsubo syndrome,Increase,3.0,6,Final,Ischemic stroke_1.0,Takotsubo cardiomyopathy
,FIRST ISCHEMIC STROKE,infection,Increase,3.22,6,Final,Ischemic stroke_1.0,Infectious disease
"Scheitz et al, Sposato 2020",FIRST ISCHEMIC STROKE,elevated catecholamines,Increase,2.0,6,Final,Ischemic stroke_1.0,Catecholamine level - finding
,FIRST ISCHEMIC STROKE,seizures,Increase,4.17,6,Final,Ischemic stroke_1.0,Seizure
,FIRST ISCHEMIC STROKE,dysphagia,Increase,3.22,6,Final,Ischemic stroke_1.0,Dysphagia
scheitz et al 2018,FIRST ISCHEMIC STROKE,severe arrrhythmia,Increase,6.0,6,Final,Ischemic stroke_1.0,Cardiac arrhythmia
,higher fitness/mobility post,second ischemic stroke,Decrease,4.34,6,Final,Physical fitness state_2.0,Ischemic stroke_2.0
,higher fitness/mobility post,second ischemic stroke,Decrease,4.34,6,Final,Able to mobilize_2.0,Ischemic stroke_2.0
,higher fitness/mobility pre,FIRST ISCHEMIC STROKE,Increase,4.34,6,Final,Physical fitness state_1.0,Ischemic stroke_1.0
,higher fitness/mobility pre,FIRST ISCHEMIC STROKE,Increase,4.34,6,Final,Able to mobilize_1.0,Ischemic stroke_1.0
,higher fitness/mobility pre,mortality,Increase,6.0,6,Final,Physical fitness state_1.0,Death
,higher fitness/mobility pre,mortality,Increase,6.0,6,Final,Able to mobilize_1.0,Death
,hyperlipidemia,myocardial infarction (type 1),Increase,6.84,6,Final,Hyperlipidemia,Myocardial infarction due to atherothrombotic coronary artery disease
,hyperlipidemia,FIRST ISCHEMIC STROKE,Increase,3.22,6,Final,Hyperlipidemia,Ischemic stroke_1.0
,hypertension,myocardial infarction (type 1),Increase,6.84,6,Final,Hypertensive disorder,Myocardial infarction due to atherothrombotic coronary artery disease
,hypertension,FIRST ISCHEMIC STROKE,Increase,5.1,6,Final,Hypertensive disorder,Ischemic stroke_1.0
,hypertension,dissection,Increase,3.92,6,Final,Hypertensive disorder,Dissection of artery
,hypertension,chronic heart failure,Increase,5.1,6,Final,Hypertensive disorder,Chronic heart failure
Sandoval 2019,hypertension,myocardial infarction (type 2),Increase,4.0,6,Final,Hypertensive disorder,Myocardial infarction due to demand ischemia
,hypertension,acute heart failure,Increase,5.1,6,Final,Hypertensive disorder,Acute heart failure
,infection,mortality,Increase,3.22,6,Final,Infectious disease,Death
Sandoval 2019,infection,myocardial infarction (type 2),Increase,4.0,6,Final,Infectious disease,Myocardial infarction due to demand ischemia
