Author,Exposure,Outcome,Direction,Strength,ID,Status,Corrected_Direction,Exposure_name,Outcome_name
eloquent / non-eloquent,4104314,3654822,Increase,6.84,2,Final,Increase,lesion_location,mRS_follow_up
eloquent / non-eloquent,4104314,3654822,Increase,6.84,2,Final,Increase,lesion_location,mRS_stroke
,42872750,4126495,Decrease,6.0,2,Final,Decrease,NIHSS_stroke,Barthel_Index_follow_up
,3654822,4126495,Decrease,6.0,2,Final,Decrease,mRS_stroke,Barthel_Index_follow_up
,4084390,4126495,Decrease,6.0,2,Final,Decrease,lesion_size,Barthel_Index_follow_up
,12,4126495,Decrease,6.0,2,Final,Decrease,time_to_therapy,Barthel_Index_follow_up
,4126495,4126495,Increase,6.84,2,Final,Increase,Barthel_Index_stroke,Barthel_Index_follow_up
eloquent/non eloquent,4104314,4126495,Decrease,6.0,2,Final,Decrease,lesion_location,Barthel_Index_follow_up
,4310996,4084390,Increase,6.0,2,Final,Increase,TOAST (etiology),lesion_size
,4310996,4104314,Increase,6.0,2,Final,Increase,TOAST (etiology),lesion_location
cardioembolic,313217,4310996,Increase,2.68,2,Final,Increase,present atrial fibrillation,TOAST (etiology)
,14,12,Increase,2.68,2,Final,Increase,time_till_diagnosis,time_to_therapy
meaning the general population being aware of typical stroke symptoms,16,14,Decrease,2.0,2,Final,Decrease,awareness of FAST-Scheme,time_till_diagnosis
,14,4051022,Decrease,6.84,2,Final,Decrease,time_till_diagnosis,rate of thrombolysis
,14,4185284,Decrease,6.84,2,Final,Decrease,time_till_diagnosis,rate of thrombectomy
,4051022,4084390,Decrease,2.93,2,Final,Decrease,rate of thrombolysis,lesion_size
,4185284,4084390,Decrease,2.93,2,Final,Decrease,rate of thrombectomy,lesion_size
cardioembolic,4310996,4051022,Increase,2.93,2,Final,Increase,TOAST (etiology),rate of thrombolysis
accesible arteries,4310996,4185284,Increase,2.68,2,Final,Increase,TOAST (etiology),rate of thrombectomy
macroangiopathic,4103842,4310996,Increase,2.68,2,Final,Increase,arteriosklerosis,TOAST (etiology)
,4298794,4103842,Increase,6.84,2,Final,Increase,smoking,arteriosklerosis
,4322978,4103842,Increase,6.84,2,Final,Increase,Age,arteriosklerosis
,201820,4103842,Increase,6.84,2,Final,Increase,Diabetes mellitus,arteriosklerosis
,4159131,4103842,Increase,6.84,2,Final,Increase,Dyslipidemia,arteriosklerosis
,37167374,4103842,Increase,6.84,2,Final,Increase,Lipoprotein (a),arteriosklerosis
,4137275,4103842,Increase,6.84,2,Final,Increase,Vasculitis,arteriosklerosis
cardioembolic,4070299,4310996,Increase,6.84,2,Final,Increase,persistent foramen ovale,TOAST (etiology)
,316866,4310996,Increase,6.0,3,Draft,Increase,hypertension,first ischemic stroke
,4171825,4310996,Increase,6.84,3,Draft,Increase,BMI_t0,first ischemic stroke
,4322978,4310996,Increase,6.84,3,Draft,Increase,age,first ischemic stroke
,442985,4310996,Increase,6.84,3,Draft,Increase,sex(being male),first ischemic stroke
,4298794,4310996,Increase,6.84,3,Draft,Increase,smoking,first ischemic stroke
,201820,4310996,Increase,6.84,3,Draft,Increase,diabetes,first ischemic stroke
,4029305,4310996,Increase,6.84,3,Draft,Increase,high blood cholesterol levels,first ischemic stroke
,4336673,4310996,Increase,6.84,3,Draft,Increase,high drinking levels,first ischemic stroke
,4024366,4310996,Increase,6.0,3,Draft,Increase,high fat salt diet,first ischemic stroke
,4024366,316866,Increase,2.68,3,Draft,Increase,high fat salt diet,hypertension
,313217,4310996,Increase,6.0,3,Draft,Increase,atrial fibrillation,first ischemic stroke
,4306703,4310996,Increase,6.84,3,Draft,Increase,Atherosclerosis,first ischemic stroke
,4024366,4306703,Increase,0.57,3,Draft,Increase,high fat salt diet,Atherosclerosis
,4171825,4310996,Increase,0.57,3,Draft,Increase,BMI_t1,second ischemic stroke
,4310996,4171825,Decrease,0.57,3,Draft,Decrease,first ischemic stroke,BMI_t1
,4298794,4310996,Increase,6.84,3,Draft,Increase,smoking,second ischemic stroke
,4322978,4310996,Increase,6.84,3,Draft,Increase,age,second ischemic stroke
,442985,4310996,Increase,6.84,3,Draft,Increase,sex(being male),second ischemic stroke
,4336673,4310996,Increase,6.84,3,Draft,Increase,high drinking levels,second ischemic stroke
,4024366,4310996,Increase,6.84,3,Draft,Increase,high fat salt diet,second ischemic stroke
,201820,4310996,Increase,6.84,3,Draft,Increase,diabetes,second ischemic stroke
,316866,4119952,Increase,6.84,4,Draft,Increase,arterial hypertension,endothelial dysfunction
,4051022,3654822,Increase,2.68,4,Draft,Increase,Thrombolysis,functional post stroke outcome
,4084390,3654822,Decrease,6.26,4,Draft,Decrease,lesion size,functional post stroke outcome
,316866,3654822,Decrease,6.84,4,Draft,Decrease,arterial hypertension,functional post stroke outcome
,433736,3654822,Decrease,6.84,4,Draft,Decrease,Obesity,functional post stroke outcome
,433736,4119952,Increase,4.61,4,Draft,Increase,Obesity,endothelial dysfunction
,4119952,13,Increase,6.84,4,Draft,Increase,endothelial dysfunction,EMV
,433736,4310996,Increase,6.84,4,Draft,Increase,Obesity,1. stroke incidence
,316866,4310996,Increase,6.84,4,Draft,Increase,arterial hypertension,1. stroke incidence
,4310996,3654822,Decrease,1.0,4,Draft,Decrease,1. stroke incidence,functional post stroke outcome
,4119952,4310996,Increase,5.42,4,Draft,Increase,endothelial dysfunction,1. stroke incidence
,13,37311069,Increase,6.84,4,Draft,Increase,EMV,secondary cardiovascular risk
,316866,37311069,Increase,6.84,4,Draft,Increase,arterial hypertension,secondary cardiovascular risk
,4119952,37311069,Increase,2.0,4,Draft,Increase,endothelial dysfunction,secondary cardiovascular risk
,13,4310996,Increase,4.0,4,Draft,Increase,EMV,1. stroke incidence
,4310996,4084390,Increase,6.84,4,Draft,Increase,1. stroke incidence,lesion size
,4310996,37311069,Increase,6.84,4,Draft,Increase,1. stroke incidence,secondary cardiovascular risk
,4084390,37311069,Increase,3.0,4,Draft,Increase,lesion size,secondary cardiovascular risk
,4137275,37311069,Increase,6.84,4,Draft,Increase,vascular inflammation,secondary cardiovascular risk
,4119952,4137275,Increase,3.14,4,Draft,Increase,endothelial dysfunction,vascular inflammation
,4137275,3,Increase,5.31,4,Draft,Increase,vascular inflammation,LMV
,3,37311069,Increase,5.31,4,Draft,Increase,LMV,secondary cardiovascular risk
,4298794,4310996,Increase,6.0,5,Draft,Increase,Smoking,Stroke
,198124,4310996,Increase,5.0,5,Draft,Increase,kidney disease,Stroke
,442985,4310996,Increase,1.0,5,Draft,Increase,male sex,Stroke
,4038720,4310996,Decrease,4.0,5,Draft,Decrease,exercise,Stroke
,442985,4298794,Increase,1.0,5,Draft,Increase,male sex,Smoking
,4171825,4310996,Increase,5.0,5,Draft,Increase,BMI,Stroke
,4038720,4171825,Decrease,6.0,5,Draft,Decrease,exercise,BMI
,4159131,4310996,Increase,5.2,5,Draft,Increase,dyslipidemia,Stroke
,4038720,198124,Decrease,2.0,5,Draft,Decrease,exercise,kidney disease
,4249447,4310996,Increase,1.75,5,Draft,Decrease,low socioeconomic status,Stroke
,4310996,440383,Increase,3.84,5,Draft,Increase,Stroke,Depression
,4310996,443432,Increase,3.84,5,Draft,Increase,Stroke,Cognitive dysfunction
,4310996,4306655,Increase,6.84,5,Draft,Increase,Stroke,Mortality
Broersen et al. 2020,4010497,4310996,Increase,0.94,5,Draft,Increase,hs cardiac Troponin,Stroke
,321588,4010497,Increase,5.1,5,Draft,Increase,cardiac disease,hs cardiac Troponin
,321588,4310996,Increase,6.84,5,Draft,Increase,cardiac disease,Stroke
,4038720,321588,Decrease,6.84,5,Draft,Decrease,exercise,cardiac disease
,4298794,321588,Increase,6.26,5,Draft,Increase,Smoking,cardiac disease
,37108742,4310996,Increase,3.92,5,Draft,Increase,elevated CRP,Stroke
,4249447,440383,Increase,3.92,5,Draft,Decrease,low socioeconomic status,Depression
,4322978,4310996,Increase,6.84,5,Draft,Increase,age,Stroke
,4322978,321588,Increase,6.84,5,Draft,Increase,age,cardiac disease
,4024366,316866,Increase,5.0,5,Draft,Increase,high fat/ high carbonhydrate diet,arterial hypertension
,4027011,316866,Increase,5.0,5,Draft,Increase,high fat/ high carbonhydrate diet,arterial hypertension
,4024366,321588,Increase,5.0,5,Draft,Increase,high fat/ high carbonhydrate diet,cardiac disease
,4027011,321588,Increase,5.0,5,Draft,Increase,high fat/ high carbonhydrate diet,cardiac disease
,4159131,440383,Increase,3.29,5,Draft,Increase,dyslipidemia,Depression
,4159131,443432,Increase,3.29,5,Draft,Increase,dyslipidemia,Cognitive dysfunction
,443784,4310996,Increase,6.84,5,Draft,Increase,vascular disease,Stroke
,4322978,443784,Increase,3.44,5,Draft,Increase,age,vascular disease
,443784,198124,Increase,6.84,5,Draft,Increase,vascular disease,kidney disease
,201820,198124,Increase,6.84,5,Draft,Increase,diabetes,kidney disease
,201820,4310996,Increase,6.84,5,Draft,Increase,diabetes,Stroke
,4024366,4159131,Increase,6.84,5,Draft,Increase,high fat/ high carbonhydrate diet,dyslipidemia
,4027011,4159131,Increase,6.84,5,Draft,Increase,high fat/ high carbonhydrate diet,dyslipidemia
,4024366,201820,Increase,6.84,5,Draft,Increase,high fat/ high carbonhydrate diet,diabetes
,4027011,201820,Increase,6.84,5,Draft,Increase,high fat/ high carbonhydrate diet,diabetes
,4024366,37108742,Increase,3.68,5,Draft,Increase,high fat/ high carbonhydrate diet,elevated CRP
,4027011,37108742,Increase,3.68,5,Draft,Increase,high fat/ high carbonhydrate diet,elevated CRP
,440383,4306655,Increase,6.0,5,Draft,Increase,Depression,Mortality
,4022241,440383,Decrease,6.84,5,Draft,Decrease,coping mechnisms,Depression
,4249447,4024366,Increase,2.93,5,Draft,Decrease,low socioeconomic status,high fat/ high carbonhydrate diet
,4249447,4027011,Increase,2.93,5,Draft,Decrease,low socioeconomic status,high fat/ high carbonhydrate diet
,4074035,4310996,Increase,6.84,5,Draft,Increase,habitual alcohol consumption,Stroke
,4074035,201820,Increase,6.84,5,Draft,Increase,habitual alcohol consumption,diabetes
,4074035,4022241,Decrease,6.13,5,Draft,Decrease,habitual alcohol consumption,coping mechnisms
,4038720,4022241,Increase,0.51,5,Draft,Increase,exercise,coping mechnisms
,4038720,316866,Decrease,2.72,5,Draft,Decrease,exercise,arterial hypertension
,4038720,4310996,Decrease,6.84,5,Draft,Decrease,exercise,Stroke
,4038720,4306655,Decrease,6.84,5,Draft,Decrease,exercise,Mortality
,4180169,4306655,Increase,5.0,5,Draft,Increase,Inflammation,Mortality
,4180169,37108742,Increase,6.84,5,Draft,Increase,Inflammation,elevated CRP
,4180169,443432,Increase,1.63,5,Draft,Increase,Inflammation,Cognitive dysfunction
,4180169,440383,Increase,0.51,5,Draft,Increase,Inflammation,Depression
,4074035,4180169,Increase,3.44,5,Draft,Increase,habitual alcohol consumption,Inflammation
,4249447,4074035,Increase,3.44,5,Draft,Decrease,low socioeconomic status,habitual alcohol consumption
,316866,321588,Increase,6.84,5,Draft,Increase,arterial hypertension,cardiac disease
,443432,4022241,Decrease,2.45,5,Draft,Decrease,Cognitive dysfunction,coping mechnisms
,4180169,443784,Increase,4.17,5,Draft,Increase,Inflammation,vascular disease
,4024366,4180169,Increase,4.17,5,Draft,Increase,high fat/ high carbonhydrate diet,Inflammation
,4027011,4180169,Increase,4.17,5,Draft,Increase,high fat/ high carbonhydrate diet,Inflammation
,4180169,321588,Increase,4.17,5,Draft,Increase,Inflammation,cardiac disease
,316866,4310996,Increase,6.84,5,Draft,Increase,arterial hypertension,Stroke
McCarthy 2018,442310,37309626,Increase,6.0,6,Final,Increase,acute heart failure,myocardial infarction (type 2)
,442310,4306655,Increase,6.84,6,Final,Increase,acute heart failure,mortality
,442310,4186398,Increase,6.0,6,Final,Increase,acute heart failure,nt-pro-BNP
,4322978,201820,Increase,4.52,6,Final,Increase,age,diabetes
,4322978,4310996,Increase,6.84,6,Final,Increase,age,FIRST ISCHEMIC STROKE
,4322978,313217,Increase,4.34,6,Final,Increase,age,atrial fibrillation
"Bishop, Lu, & Yankner, 2010",4322978,443432,Increase,4.0,6,Final,Increase,age,kognitive decline
,4322978,4306703,Increase,6.84,6,Final,Increase,age,atherosclerosis
Diener 2020,4056822,4310996,Decrease,3.0,6,Final,Decrease,anticoagulation,second ischemic stroke
Diener 2020,4056822,4310996,Decrease,3.0,6,Final,Decrease,anticoagulation,FIRST ISCHEMIC STROKE
,4056822,42538532,Decrease,2.72,6,Final,Decrease,anticoagulation,cardiac thrombus
,4306703,4310996,Increase,6.68,6,Final,Increase,atherosclerosis,FIRST ISCHEMIC STROKE
,4306703,604179,Increase,6.84,6,Final,Increase,atherosclerosis,myocardial infarction (type 1)
,313217,4310996,Increase,6.84,6,Final,Increase,atrial fibrillation,FIRST ISCHEMIC STROKE
,313217,4009409,Increase,6.0,6,Final,Increase,atrial fibrillation,troponin elevation
,313217,4186398,Increase,6.0,6,Final,Increase,atrial fibrillation,nt-pro-BNP
,313217,44784217,Increase,6.0,6,Final,Increase,atrial fibrillation,severe arrrhythmia
,4171825,604179,Increase,6.84,6,Final,Increase,BMI,myocardial infarction (type 1)
,4171825,4310996,Increase,6.84,6,Final,Increase,BMI,second ischemic stroke
,4171825,4310996,Increase,4.34,6,Final,Increase,BMI,FIRST ISCHEMIC STROKE
Rizas et al 2017,434633,44784217,Increase,4.0,6,Final,Increase,cardiac autonomic dysbalance,severe arrrhythmia
,42538532,4310996,Increase,5.1,6,Final,Increase,cardiac thrombus,FIRST ISCHEMIC STROKE
,444031,443432,Increase,4.52,6,Final,Increase,chronic heart failure,kognitive decline
,444031,4310996,Increase,4.34,6,Final,Increase,chronic heart failure,FIRST ISCHEMIC STROKE
,444031,4186398,Increase,3.22,6,Final,Increase,chronic heart failure,nt-pro-BNP
,444031,4009409,Increase,6.0,6,Final,Increase,chronic heart failure,troponin elevation
,440383,44800078,Decrease,2.68,6,Final,Decrease,depression,higher fitness/mobility post
,440383,4199549,Decrease,2.68,6,Final,Decrease,depression,higher fitness/mobility post
,440383,4306655,Increase,2.68,6,Final,Increase,depression,mortality
Ghadri 2018,440383,40479589,Increase,2.0,6,Final,Increase,depression,Takotsubo syndrome
,201820,4306655,Increase,4.52,6,Final,Increase,diabetes,mortality
,201820,432250,Increase,3.22,6,Final,Increase,diabetes,infection
,201820,604179,Increase,6.0,6,Final,Increase,diabetes,myocardial infarction (type 1)
,201820,4310996,Increase,4.52,6,Final,Increase,diabetes,FIRST ISCHEMIC STROKE
,201820,4171825,Increase,4.52,6,Final,Increase,diabetes,BMI
,201820,434633,Increase,4.0,6,Final,Increase,diabetes,cardiac autonomic dysbalance
,46272492,4310996,Increase,3.92,6,Final,Increase,dissection,FIRST ISCHEMIC STROKE
,31317,432250,Increase,3.22,6,Final,Increase,dysphagia,infection
,4275208,44784217,Increase,3.76,6,Final,Increase,elevated catecholamines,severe arrrhythmia
Ghadri 2018,4275208,40479589,Increase,6.0,6,Final,Increase,elevated catecholamines,Takotsubo syndrome
,4038720,316866,Decrease,3.92,6,Final,Decrease,exercise (cardiac not excessive),hypertension
Diener 2020,4038720,4310996,Decrease,4.0,6,Final,Decrease,exercise (cardiac not excessive),FIRST ISCHEMIC STROKE
Strohle et al 2015,4038720,443432,Decrease,3.0,6,Final,Decrease,exercise (cardiac not excessive),kognitive decline
,4038720,313217,Increase,2.52,6,Final,Increase,exercise (cardiac not excessive),atrial fibrillation
,4038720,604179,Decrease,2.72,6,Final,Decrease,exercise (cardiac not excessive),myocardial infarction (type 1)
,4038720,444031,Decrease,3.92,6,Final,Decrease,exercise (cardiac not excessive),chronic heart failure
Scheitz et al 2014,4310996,4009409,Increase,6.0,6,Final,Increase,FIRST ISCHEMIC STROKE,troponin elevation
,4310996,4310996,Increase,6.84,6,Final,Increase,FIRST ISCHEMIC STROKE,second ischemic stroke
Diener 2020,4310996,4306655,Increase,6.0,6,Final,Increase,FIRST ISCHEMIC STROKE,mortality
scheitz 2018,4310996,442310,Increase,3.0,6,Final,Increase,FIRST ISCHEMIC STROKE,acute heart failure
,4310996,44800078,Decrease,4.34,6,Final,Decrease,FIRST ISCHEMIC STROKE,higher fitness/mobility post
,4310996,4199549,Decrease,4.34,6,Final,Decrease,FIRST ISCHEMIC STROKE,higher fitness/mobility post
,4310996,443432,Increase,4.52,6,Final,Increase,FIRST ISCHEMIC STROKE,kognitive decline
Thygesen 2018,4310996,37309626,Increase,6.0,6,Final,Increase,FIRST ISCHEMIC STROKE,myocardial infarction (type 2)
,4310996,440383,Increase,4.61,6,Final,Increase,FIRST ISCHEMIC STROKE,depression
"Scheitz, Templin 2021 under review",4310996,40479589,Increase,3.0,6,Final,Increase,FIRST ISCHEMIC STROKE,Takotsubo syndrome
,4310996,432250,Increase,3.22,6,Final,Increase,FIRST ISCHEMIC STROKE,infection
"Scheitz et al, Sposato 2020",4310996,4275208,Increase,2.0,6,Final,Increase,FIRST ISCHEMIC STROKE,elevated catecholamines
,4310996,377091,Increase,4.17,6,Final,Increase,FIRST ISCHEMIC STROKE,seizures
,4310996,31317,Increase,3.22,6,Final,Increase,FIRST ISCHEMIC STROKE,dysphagia
scheitz et al 2018,4310996,44784217,Increase,6.0,6,Final,Increase,FIRST ISCHEMIC STROKE,severe arrrhythmia
,44800078,4310996,Increase,4.34,6,Final,Increase,higher fitness/mobility post,second ischemic stroke
,4199549,4310996,Increase,4.34,6,Final,Increase,higher fitness/mobility post,second ischemic stroke
,44800078,4310996,Decrease,4.34,6,Final,Decrease,higher fitness/mobility pre,FIRST ISCHEMIC STROKE
,4199549,4310996,Decrease,4.34,6,Final,Decrease,higher fitness/mobility pre,FIRST ISCHEMIC STROKE
,44800078,4306655,Decrease,6.0,6,Final,Decrease,higher fitness/mobility pre,mortality
,4199549,4306655,Decrease,6.0,6,Final,Decrease,higher fitness/mobility pre,mortality
,432867,604179,Increase,6.84,6,Final,Increase,hyperlipidemia,myocardial infarction (type 1)
,432867,4310996,Increase,3.22,6,Final,Increase,hyperlipidemia,FIRST ISCHEMIC STROKE
,316866,604179,Increase,6.84,6,Final,Increase,hypertension,myocardial infarction (type 1)
,316866,4310996,Increase,5.1,6,Final,Increase,hypertension,FIRST ISCHEMIC STROKE
,316866,46272492,Increase,3.92,6,Final,Increase,hypertension,dissection
,316866,444031,Increase,5.1,6,Final,Increase,hypertension,chronic heart failure
Sandoval 2019,316866,37309626,Increase,4.0,6,Final,Increase,hypertension,myocardial infarction (type 2)
,316866,442310,Increase,5.1,6,Final,Increase,hypertension,acute heart failure
,432250,4306655,Increase,3.22,6,Final,Increase,infection,mortality
Sandoval 2019,432250,37309626,Increase,4.0,6,Final,Increase,infection,myocardial infarction (type 2)
van der Linden 2017,198124,4009409,Increase,2.0,6,Final,Increase,kidney disease,troponin elevation
,604179,4310996,Increase,2.68,6,Final,Increase,myocardial infarction (type 1),FIRST ISCHEMIC STROKE
Rizas et al 2017,604179,434633,Increase,6.0,6,Final,Increase,myocardial infarction (type 1),cardiac autonomic dysbalance
"thygesen et al 2018, McAloon 2016",604179,4306655,Increase,6.0,6,Final,Increase,myocardial infarction (type 1),mortality
thygesen et al 2018,604179,44784217,Increase,6.0,6,Final,Increase,myocardial infarction (type 1),severe arrrhythmia
thygesen et al 2018,604179,4009409,Increase,6.0,6,Final,Increase,myocardial infarction (type 1),troponin elevation
Thygesen 2018,604179,442310,Increase,6.0,6,Final,Increase,myocardial infarction (type 1),acute heart failure
Thygesen 2018,604179,42538532,Increase,5.0,6,Final,Increase,myocardial infarction (type 1),cardiac thrombus
,604179,444031,Increase,6.84,6,Final,Increase,myocardial infarction (type 1),chronic heart failure
DeFilippis 2019,37309626,4009409,Increase,6.0,6,Final,Increase,myocardial infarction (type 2),troponin elevation
McCarthy et al 2018,37309626,4306655,Increase,6.0,6,Final,Increase,myocardial infarction (type 2),mortality
Wiktor 2018,4070299,4310996,Increase,3.0,6,Final,Increase,persistent foramen ovale,FIRST ISCHEMIC STROKE
,4310996,4306655,Increase,6.0,6,Final,Increase,second ischemic stroke,mortality
,377091,4306655,Increase,6.54,6,Final,Increase,seizures,mortality
Faria et al 2020,377091,4009409,Increase,4.0,6,Final,Increase,seizures,troponin elevation
,44784217,4306655,Increase,6.68,6,Final,Increase,severe arrrhythmia,mortality
,442985,4298794,Increase,3.84,6,Final,Increase,sex (male),smoking
,442985,4310996,Increase,4.34,6,Final,Increase,sex (male),FIRST ISCHEMIC STROKE
,442985,40479589,Decrease,2.68,6,Final,Decrease,sex (male),Takotsubo syndrome
,4298794,4310996,Increase,6.84,6,Final,Increase,smoking,FIRST ISCHEMIC STROKE
,4298794,604179,Increase,6.84,6,Final,Increase,smoking,myocardial infarction (type 1)
,4200516,434633,Increase,2.72,6,Final,Increase,stroke lesion affecting central autonomic network,cardiac autonomic dysbalance
Scheitz et.al 2018 lancet,4200516,44784217,Increase,6.0,6,Final,Increase,stroke lesion affecting central autonomic network,severe arrrhythmia
Krause et al 2017,4200516,4009409,Increase,6.0,6,Final,Increase,stroke lesion affecting central autonomic network,troponin elevation
Scheitz 2018,4200516,4275208,Increase,2.0,6,Final,Increase,stroke lesion affecting central autonomic network,elevated catecholamines
Ghadri et at 2018,40479589,4009409,Increase,4.0,6,Final,Increase,Takotsubo syndrome,troponin elevation
scheitz 2014,4009409,44800078,Decrease,3.0,6,Final,Decrease,troponin elevation,higher fitness/mobility post
scheitz 2014,4009409,4199549,Decrease,3.0,6,Final,Decrease,troponin elevation,higher fitness/mobility post
broersen et al 2020,4009409,443432,Increase,4.0,6,Final,Increase,troponin elevation,kognitive decline
,4322978,4310996,Increase,6.84,7,Final,Increase,age,first-ever ischemic stroke occurence
,442985,4310996,Increase,6.84,7,Final,Increase,sex (being male),first-ever ischemic stroke occurence
,4171825,4310996,Increase,6.84,7,Final,Increase,BMI,first-ever ischemic stroke occurence
Gorelick et al (1997),4029305,4310996,Increase,6.0,7,Final,Increase,LDL-cholesterol,first-ever ischemic stroke occurence
MacMahon et al (1990),316866,4310996,Increase,6.0,7,Final,Increase,blood pressure,first-ever ischemic stroke occurence
,4171825,4029305,Increase,6.84,7,Final,Increase,BMI,LDL-cholesterol
,4171825,316866,Increase,6.84,7,Final,Increase,BMI,blood pressure
,4029305,4306703,Increase,6.84,7,Final,Increase,LDL-cholesterol,atherosclerosis (measured by low ABI)
,313217,4310996,Increase,6.84,7,Final,Increase,atrial fibrilation,first-ever ischemic stroke occurence
,4329847,4310996,Increase,4.17,7,Final,Increase,occurence of myocardial infarction,first-ever ischemic stroke occurence
Shinton et al (1999),4298794,4310996,Increase,6.0,7,Final,Increase,smoking,first-ever ischemic stroke occurence
Wilhelmsson et al (1975),4298794,4329847,Increase,6.0,7,Final,Increase,smoking,occurence of myocardial infarction
,4298794,316866,Increase,6.84,7,Final,Increase,smoking,blood pressure
,4298794,4306703,Increase,6.84,7,Final,Increase,smoking,atherosclerosis (measured by low ABI)
,4310996,4310996,Increase,6.84,7,Final,Increase,first-ever ischemic stroke occurence,second ischemic stroke occurence
,4029305,4310996,Increase,6.84,7,Final,Increase,LDL-cholesterol,second ischemic stroke occurence
,4029305,4310996,Increase,2.58,7,Final,Increase,LDL-cholesterol,second ischemic stroke occurence
